proc_id,marca,classe,data_concessao,ano,boletim,req_id
46551/2022,Mysolgrid,39,05/12/2022,2022,BPI_163,REQ001
46552/2022,Mysolgrid,40,05/12/2022,2022,BPI_163,REQ001
4754541,Utec,,21/03/2023,2023,BPI_170,REQ002
4754829,Tsum Biçante,,,2023,BPI_170,REQ003
4754935,Fig.,35,,2023,BPI_170,REQ004
4755035,Cartrack,35,,2023,BPI_170,REQ004
4755130,Max Sabor,30,,2023,BPI_170,REQ005
4755231,Max Sabor,31,,2023,BPI_170,REQ005
4755435,Adianta,35,,2023,BPI_170,REQ006
4755535,Estica,35,,2023,BPI_170,REQ006
4755640,Chaveiro Da Cidade,40,,2023,BPI_170,REQ007
4755742,Feeding The Change,42,,2023,BPI_170,REQ008
4755841,Feeding The Change,41,,2023,BPI_170,REQ008
4756341,Little Genius Wholw-Brain Childhood Development Center For Sprowting Minds,41,,2023,BPI_170,REQ009
4756441,Wbdc-Whole-Brain Development Center,41,,2023,BPI_170,REQ009
4756541,Talking With Sprowt,41,,2023,BPI_170,REQ009
4756703,Milagre,3,,2023,BPI_170,REQ010
4756804,Milagre,4,,2023,BPI_170,REQ010
4757032,Milagre,32,,2023,BPI_170,REQ010
4757129,Milagre,29,,2023,BPI_170,REQ010
4757530,Jato Café,30,,2023,BPI_170,REQ011
4757635,Amaramba Capital Dealer Sociedade Financeira De Corretagem,35,,2023,BPI_170,REQ012
4757835,D Dlighttek,35,,2023,BPI_170,REQ013
4757903,Sugar,3,,2023,BPI_170,REQ014
4758035,Sugar,35,,2023,BPI_170,REQ014
4758109,Jamaica,9,,2023,BPI_170,REQ015
4758529,Masterchef,29,,2023,BPI_170,REQ016
4758642,Bacelinha Ganhe Dinheiro,42,,2023,BPI_170,REQ017
4758742,Azzgo,42,,2023,BPI_170,REQ017
4758811,Luma Bella,11,,2023,BPI_170,REQ018
4758907,Luma Bella,7,,2023,BPI_170,REQ018
4759008,[sem nome],8,,2023,BPI_170,REQ018
4759232,Água Pura De Marracuene,32,,2023,BPI_170,REQ019
4759330,Fala com Bon o Bon,30,,2023,BPI_170,REQ020
4759731,Profarms,31,,2023,BPI_170,REQ021
4760135,Ace Investments,35,28/03/2023,2023,BPI_170,REQ022
4760241,Utec,41,29/03/2023,2023,BPI_170,REQ002
4760331,Dani's,31,29/03/2023,2023,BPI_170,REQ023
4760641,Miss & Mister Katembe,41,29/03/2023,2023,BPI_170,REQ024
4760809,Multi Ea,9,29/03/2023,2023,BPI_170,REQ025
4760911,Multi Ea,11,29/03/2023,2023,BPI_170,REQ025
4761035,Crembi Chocolate,35,29/03/2023,2023,BPI_170,REQ026
4761130,Crembi Chocolate,30,29/03/2023,2023,BPI_170,REQ026
4761235,Fig.,35,29/03/2023,2023,BPI_170,REQ027
4761332,Fig.,32,29/03/2023,2023,BPI_170,REQ027
4761735,Community Cookstoves,35,29/03/2023,2023,BPI_170,REQ028
4761835,Community Carbon,35,29/03/2023,2023,BPI_170,REQ028
4761935,Smarthome,35,29/03/2023,2023,BPI_170,REQ028
4762230,Super Doce,30,30/03/2023,2023,BPI_170,REQ029
4762929,Bettafry,29,31/03/2023,2023,BPI_170,REQ030
4763328,Olalotto,28,31/03/2023,2023,BPI_170,REQ031